Index,Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Time Took For Restoration (hrs),Demand Loss (MW),Number of Customers Affected,State,County,NERC_Region,Event_Type,Alert_Criteria
232,August,2022-08-09,12:12:00,08/09/2022,13:08:00,0.9333333333333327,0,0,Florida,Palm Beach County,SERC,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
233,August,2022-08-09,12:12:00,08/09/2022,13:08:00,0.9333333333333327,0,0,Florida,Palm Beach County,SERC,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
234,August,2022-08-10,01:25:00,08/10/2022,01:30:00,0.0833333333333332,24,0,Arkansas,Lawrence County,SERC,Severe Weather,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
235,August,2022-08-10,15:00:00,08/10/2022,15:01:00,0.016666666666666607,0,0,Alabama,Jefferson County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
236,August,2022-08-10,19:56:00,08/11/2022,20:00:00,0.06666666666666643,,140464,Texas,Harris County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
237,August,2022-08-12,14:46:00,08/12/2022,14:47:00,0.016666666666666607,0,0,Georgia,Sumter County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
238,August,2022-08-15,23:43:00,08/16/2022,07:14:00,7.516666666666669,0,5000,Wyoming,,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
238,August,2022-08-15,23:43:00,08/16/2022,07:14:00,7.516666666666669,0,5000,Wyoming,,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
238,August,2022-08-15,23:43:00,08/16/2022,07:14:00,7.516666666666669,0,5000,Nebraska,,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
238,August,2022-08-15,23:43:00,08/16/2022,07:14:00,7.516666666666669,0,5000,Nebraska,,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
239,August,2022-08-15,09:08:00,08/15/2022,09:10:00,0.033333333333333215,0,0,Nevada,Clark County,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
240,August,2022-08-15,10:24:00,08/15/2022,12:49:00,2.416666666666666,,0,New Jersey,Gloucester County,RF,Transmission Interruption,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
241,August,2022-08-18,18:05:00,08/18/2022,21:39:00,3.5666666666666647,,,Ohio,Franklin County,RF,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
242,August,2022-08-19,17:40:00,08/19/2022,17:41:00,0.016666666666666607,0,0,Massachusetts,Bristol County,NPCC,Actual Physical Attack,Damage or destruction of its Facility that results from actual or suspected intentional human action.
243,August,2022-08-19,22:00:00,08/20/2022,11:30:00,13.500000000000004,0,0,Washington,Clark County,WECC,Cyber Event,Cyber event that could potentially impact electric power system adequacy or reliability.
244,August,2022-08-22,09:47:00,08/22/2022,09:48:00,0.01666666666666794,0,0,California,Los Angeles County,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
245,August,2022-08-22,12:46:00,08/22/2022,13:09:00,0.38333333333333464,24,6385,Texas,DeWitt County,TRE,System Operations,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
246,August,2022-08-22,20:40:00,08/22/2022,21:57:00,1.2833333333333314,0,0,Texas,El Paso County,TRE,Severe Weather,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
247,August,2022-08-24,14:20:00,08/24/2022,14:21:00,0.016666666666666607,0,0,California,Los Angeles County,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
248,August,2022-08-25,00:59:00,08/25/2022,01:00:00,0.016666666666666607,0,0,California,San Diego County,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
249,August,2022-08-25,00:59:00,08/25/2022,01:00:00,0.016666666666666607,0,0,California,San Diego County,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
250,August,2022-08-26,11:09:00,08/26/2022,11:10:00,0.016666666666665275,0,0,California,Los Angeles County,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
251,August,2022-08-27,02:21:00,08/27/2022,19:14:00,16.883333333333333,0,0,Maine,,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
252,August,2022-08-28,04:59:00,08/28/2022,06:06:00,1.116666666666666,0,0,New York,Broome County,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Ottawa County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Allegan County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Van Buren County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Montcalm County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Kent County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Barry County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Kalamazoo County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,St. Joseph County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Branch County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Hillsdale County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Calhoun County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Jackson County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Eaton County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Clinton County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Shiawassee County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Montcalm County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Isabella County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Mecosta County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
253,August,2022-08-29,15:00:00,09/01/2022,09:00:00,18.0,,197740,Michigan,Midland County,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
254,August,2022-08-29,17:50:00,,,,,,Michigan,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
255,August,2022-08-29,10:45:00,08/29/2022,11:45:00,0.9999999999999991,0,0,Texas,Collin County,TRE,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
256,August,2022-08-31,09:58:00,08/31/2022,12:15:00,2.283333333333332,10,3000,Florida,Duval County,SERC,Vandalism,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
257,January,2021-01-01,07:04:00,01/01/2021,07:05:00,0.016666666666666607,0,0,California,Alameda County,WECC,Vandalism,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.
258,January,2021-01-02,10:28:00,01/02/2021,10:29:00,0.016666666666665275,8,5803,California,Butte County,WECC,System Operations,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
259,January,2021-01-04,10:34:00,01/04/2021,10:49:00,0.25000000000000044,6,3825,Pennsylvania,,RF,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
260,January,2021-01-08,01:26:00,01/08/2021,02:45:00,1.3166666666666664,,1908,Arkansas,Prairie County,SERC,Sabotage,Damage or destruction of its Facility that results from actual or suspected intentional human action.
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Anderson County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Angelina County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Dallas County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Freestone County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Henderson County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Houston County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Leon County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Nacogdoches County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Smith County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
261,January,2021-01-10,22:44:00,01/13/2021,16:00:00,17.266666666666662,,188000,Texas,Tarrant County,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
262,January,2021-01-11,05:00:00,01/11/2021,14:22:00,9.366666666666665,,58000,Louisiana,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
262,January,2021-01-11,05:00:00,01/11/2021,14:22:00,9.366666666666665,,58000,Louisiana,,SERC,Distribution Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
262,January,2021-01-11,05:00:00,01/11/2021,14:22:00,9.366666666666665,,58000,Texas,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
262,January,2021-01-11,05:00:00,01/11/2021,14:22:00,9.366666666666665,,58000,Texas,,SERC,Distribution Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
263,January,2021-01-12,23:50:00,01/15/2021,13:00:00,13.166666666666664,100,320000,Washington,Kitsap County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
263,January,2021-01-12,23:50:00,01/15/2021,13:00:00,13.166666666666664,100,320000,Washington,Thurston County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
263,January,2021-01-12,23:50:00,01/15/2021,13:00:00,13.166666666666664,100,320000,Washington,King County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
263,January,2021-01-12,23:50:00,01/15/2021,13:00:00,13.166666666666664,100,320000,Washington,Pierce County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
263,January,2021-01-12,23:50:00,01/15/2021,13:00:00,13.166666666666664,100,320000,Washington,Skagit County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
263,January,2021-01-12,23:50:00,01/15/2021,13:00:00,13.166666666666664,100,320000,Washington,Whatcom County,WECC,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
264,January,2021-01-12,20:46:00,01/13/2021,16:00:00,19.23333333333333,,94231,Oregon,Clackamas County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
264,January,2021-01-12,20:46:00,01/13/2021,16:00:00,19.23333333333333,,94231,Oregon,Multnomah County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
264,January,2021-01-12,20:46:00,01/13/2021,16:00:00,19.23333333333333,,94231,Oregon,Washington County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
265,January,2021-01-12,23:49:00,01/14/2021,14:00:00,14.183333333333337,150,70000,Washington,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
265,January,2021-01-12,23:49:00,01/14/2021,14:00:00,14.183333333333337,150,70000,Washington,,WECC,Distribution Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
266,January,2021-01-12,20:30:00,,,,200,62000,Washington,Snohomish County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
266,January,2021-01-12,20:30:00,,,,200,62000,Washington,Snohomish County,WECC,Transmission Interruption,"Loss of electric service to more than 50,000 customers for 1 hour or more."
267,January,2021-01-13,03:43:00,01/13/2021,16:00:00,12.283333333333331,185,70417,Washington,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
267,January,2021-01-13,03:43:00,01/13/2021,16:00:00,12.283333333333331,185,70417,Idaho,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
268,January,2021-01-13,13:05:00,01/13/2021,13:06:00,0.016666666666663943,0,0,Georgia,Houston County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
269,January,2021-01-15,17:48:00,01/15/2021,18:55:00,1.116666666666668,0,0,Missouri,,SERC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
270,January,2021-01-18,14:07:00,01/18/2021,14:42:00,0.5833333333333313,0,0,Connecticut,,NPCC,System Operations,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.
271,January,2021-01-19,09:31:00,01/21/2021,14:36:00,5.083333333333331,,173746,California,Kern County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
271,January,2021-01-19,09:31:00,01/21/2021,14:36:00,5.083333333333331,,173746,California,Los Angeles County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
271,January,2021-01-19,09:31:00,01/21/2021,14:36:00,5.083333333333331,,173746,California,Riverside County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
271,January,2021-01-19,09:31:00,01/21/2021,14:36:00,5.083333333333331,,173746,California,San Bernardino County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
271,January,2021-01-19,09:31:00,01/21/2021,14:36:00,5.083333333333331,,173746,California,Ventura County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
271,January,2021-01-19,09:31:00,01/21/2021,14:36:00,5.083333333333331,,173746,California,Orange County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
272,January,2021-01-19,02:48:00,01/20/2021,11:41:00,8.883333333333333,411,124888,California,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
273,January,2021-01-21,00:00:00,02/03/2021,16:55:00,16.916666666666668,0,0,Texas,,TRE,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
273,January,2021-01-21,00:00:00,02/03/2021,16:55:00,16.916666666666668,0,0,Louisiana,,TRE,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
273,January,2021-01-21,00:00:00,02/03/2021,16:55:00,16.916666666666668,0,0,Arkansas,Pulaski County,TRE,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
273,January,2021-01-21,00:00:00,02/03/2021,16:55:00,16.916666666666668,0,0,Mississippi,,TRE,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
274,January,2021-01-23,07:00:00,01/27/2021,13:45:00,6.749999999999998,29,,Georgia,Laurens County,SERC,Cyber Event,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
275,January,2021-01-23,07:45:00,01/23/2021,08:00:00,0.2499999999999991,45,0,California,Placer County,WECC,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
275,January,2021-01-23,07:45:00,01/23/2021,08:00:00,0.2499999999999991,45,0,California,Nevada County,WECC,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
276,January,2021-01-26,20:49:00,01/28/2021,21:14:00,0.41666666666666785,841,255715,California,,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
277,January,2021-01-27,12:30:00,01/27/2021,16:18:00,3.8,0,0,New Hampshire,Hillsborough County,NPCC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
278,January,2021-01-28,10:15:00,01/28/2021,16:46:00,6.516666666666666,0,0,New Hampshire,Hillsborough County,NPCC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
279,February,2021-02-01,23:25:00,02/02/2021,01:12:00,1.7833333333333323,13,6102,Texas,Kleberg County,TRE,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
280,February,2021-02-02,12:34:00,02/02/2021,15:43:00,3.1499999999999995,5,4,South Dakota,Hughes County,MRO,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
280,February,2021-02-02,12:34:00,02/02/2021,15:43:00,3.1499999999999995,5,4,South Dakota,Hughes County,MRO,Transmission Interruption,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
281,February,2021-02-02,09:25:00,02/03/2021,11:38:00,2.216666666666667,5,3,South Dakota,Hughes County,MRO,Severe Weather,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
281,February,2021-02-02,09:25:00,02/03/2021,11:38:00,2.216666666666667,5,3,South Dakota,Hughes County,MRO,Transmission Interruption,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.
282,February,2021-02-03,14:22:00,02/04/2021,22:32:00,8.16666666666667,7,1400,North Dakota,Logan County,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
282,February,2021-02-03,14:22:00,02/04/2021,22:32:00,8.16666666666667,7,1400,North Dakota,Emmons County,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
282,February,2021-02-03,14:22:00,02/04/2021,22:32:00,8.16666666666667,7,1400,North Dakota,McIntosh County,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
283,February,2021-02-05,09:43:00,02/05/2021,11:19:00,1.5999999999999996,0,0,Arkansas,Arkansas County,SERC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
284,February,2021-02-06,06:50:00,02/06/2021,14:43:00,7.883333333333335,0,0,Ohio,,RF,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
284,February,2021-02-06,06:50:00,02/06/2021,14:43:00,7.883333333333335,0,0,Kentucky,,RF,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
285,February,2021-02-07,06:57:00,02/07/2021,07:34:00,0.6166666666666658,0,0,Texas,Cameron County,TRE,Suspicious Activity,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility."
286,February,2021-02-08,07:04:00,02/08/2021,14:10:00,7.1,0,0,Minnesota,St. Louis County,MRO,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
287,February,2021-02-08,18:19:00,02/08/2021,18:29:00,0.16666666666666874,0,0,New Hampshire,Hillsborough County,NPCC,System Operations,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.
288,February,2021-02-09,13:00:00,02/10/2021,14:21:00,1.3500000000000005,0,0,Oregon,Tillamook County,WECC,Vandalism,Damage or destruction of its Facility that results from actual or suspected intentional human action.
289,February,2021-02-09,10:51:00,,,,0,0,North Carolina,,SERC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
290,February,2021-02-10,15:00:00,02/23/2021,15:00:00,24.0,,2000000,Texas,,TRE,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
291,February,2021-02-11,08:30:00,02/22/2021,09:00:00,0.49999999999999956,,,Illinois,Scott County,SERC,Fuel Supply Deficiency,Fuel supply emergencies that could impact electric power system adequacy or reliability.
292,February,2021-02-11,19:21:00,02/11/2021,21:20:00,1.9833333333333316,0,0,Colorado,Morgan County,WECC,Transmission Interruption,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing)."
293,February,2021-02-11,13:00:00,,,,0,0,Kansas,,MRO,Fuel Supply Deficiency,Fuel supply emergencies that could impact electric power system adequacy or reliability.
294,February,2021-02-12,21:00:00,02/20/2021,17:15:00,20.25,,300187,Oregon,Clackamas County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
294,February,2021-02-12,21:00:00,02/20/2021,17:15:00,20.25,,300187,Oregon,Marion County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
294,February,2021-02-12,21:00:00,02/20/2021,17:15:00,20.25,,300187,Oregon,Polk County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
294,February,2021-02-12,21:00:00,02/20/2021,17:15:00,20.25,,300187,Oregon,Multnomah County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
294,February,2021-02-12,21:00:00,02/20/2021,17:15:00,20.25,,300187,Oregon,Washington County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
294,February,2021-02-12,21:00:00,02/20/2021,17:15:00,20.25,,300187,Oregon,Yamhill County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
295,February,2021-02-12,15:30:00,02/22/2021,07:30:00,16.0,,,Texas,,TRE,Fuel Supply Deficiency,Fuel supply emergencies that could impact electric power system adequacy or reliability.
296,February,2021-02-13,09:56:00,02/13/2021,11:01:00,1.0833333333333335,164,37583,Washington,Lewis County,WECC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
297,February,2021-02-13,13:30:00,02/20/2021,08:00:00,18.5,,,Texas,,TRE,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
298,February,2021-02-13,13:30:00,02/19/2021,21:00:00,7.5,,55097,West Virginia,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
298,February,2021-02-13,13:30:00,02/19/2021,21:00:00,7.5,,55097,Virginia,,RF,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
299,February,2021-02-13,08:32:00,02/14/2021,15:00:00,6.466666666666667,,129000,South Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
299,February,2021-02-13,08:32:00,02/14/2021,15:00:00,6.466666666666667,,129000,North Carolina,,SERC,Severe Weather,"Loss of electric service to more than 50,000 customers for 1 hour or more."
300,February,2021-02-14,08:30:00,02/19/2021,18:00:00,9.5,7214,,Texas,,TRE,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
301,February,2021-02-14,08:30:00,02/19/2021,18:00:00,9.5,,,Texas,,TRE,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
302,February,2021-02-14,05:30:00,02/18/2021,10:00:00,4.500000000000001,,,Oklahoma,,MRO,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
303,February,2021-02-14,20:21:00,02/18/2021,09:30:00,13.149999999999995,461,125484,Arkansas,,SERC,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
303,February,2021-02-14,20:21:00,02/18/2021,09:30:00,13.149999999999995,461,125484,Louisiana,,SERC,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
303,February,2021-02-14,20:21:00,02/18/2021,09:30:00,13.149999999999995,461,125484,Texas,,SERC,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
303,February,2021-02-14,20:21:00,02/18/2021,09:30:00,13.149999999999995,461,125484,Oklahoma,,SERC,Severe Weather,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.
304,February,2021-02-14,20:00:00,02/18/2021,09:28:00,13.466666666666665,3000,,North Dakota,,MRO,Severe Weather,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.
